title,authors,journal,year,citations,scholar_link,theme,quartile
Mobility assessment in people with Alzheimer disease using smartphone sensors,"P Serra-Añó, JF Pedrero-Sánchez, J Hurtado-Abellán, M Inglés, ...","Journal of NeuroEngineering and Rehabilitation 16 (1), 103",2019,50,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:_FxGoFyzp5QC,,
Impact of Parkinson’s disease on functional mobility at different stages,"S Mollà-Casanova, J Pedrero-Sánchez, M Inglés, J López-Pascual, ...","Frontiers in aging neuroscience 14, 935841",2022,38,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:zYLM7Y9cAGgC,,
Assessment of functional activities in individuals with Parkinson’s disease using a simple and reliable smartphone-based procedure,"P Serra-Añó, JF Pedrero-Sánchez, M Inglés, M Aguilar-Rodríguez, ...","International journal of environmental research and public health 17 (11), 4123",2020,35,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:IjCSPb-OGe4C,,
The My Active and Healthy Aging (My‐AHA) ICT platform to detect and prevent frailty in older adults: Randomized control trial design and protocol,"MJ Summers, I Rainero, AE Vercelli, G Aumayr, H de Rosario, M Mönter, ...",Alzheimer's & Dementia: Translational Research & Clinical Interventions 4 (1 …,2018,29,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:Se3iqnhoufwC,,
"Classification of healthy, Alzheimer and Parkinson populations with a multi-branch neural network","JF Pedrero-Sánchez, JM Belda-Lois, P Serra-Ano, M Ingles, ...","Biomedical Signal Processing and Control 75, 103617",2022,23,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:u-x6o8ySG0sC,,
Classification of Parkinson's disease stages with a two-stage deep neural network,"JF Pedrero-Sánchez, JM Belda-Lois, P Serra-Añó, S Mollà-Casanova, ...","Frontiers in Aging Neuroscience 15, 1152917",2023,22,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:d1gkVwhDpl0C,,
The reliability and accuracy of a fall risk assessment procedure using mobile smartphone sensors compared with a physiological profile assessment,"JF Pedrero-Sánchez, H De-Rosario-Martínez, E Medina-Ripoll, ...","Sensors 23 (14), 6567",2023,12,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:9yKSN-GCB0IC,,
FallSkip: Valoración del riesgo de caídas en personas mayores,"EM Ripoll, JFP Sánchez, JDG Jaén, JL Pascual, IB Bosch, SP Corresa, ...","Revista de biomecánica, 55-60",2017,10,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:u5HHmVD_uO8C,,
Innovación sanitaria en la gestión del riesgo de caídas de personas mayores en Atención Primaria,"B Folch, C Donato, M Ruivo, A Ruiz, A Tapia, V Palop, S Pitarch Corresa, ...",Instituto de Biomecánica de Valencia,2019,7,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:W7OEmFMy1HYC,,
Ergonomic assessment with a convolutional neural network. A case study with owas,"H De Rosario, E Medina-Ripoll, JF Pedrero-Sánchez, ...","International Ergonomics Conference, 65-71",2020,3,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:Y0pCki6q_DkC,,
Efficiency assessment of follow-up methodology of patients with knee replacement to predict post-surgical functionality: a protocol for randomised control PROKnee trial,"C San Martin Valenzuela, R Tabarés-Seisdedos, A Paya Rubio, ...","BMJ open 14 (5), e077942",2024,1,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:hqOjcs7Dif8C,,
Innovación sanitaria en la gestión del riesgo de caídas de personas mayores en Atención Primaria,"BF Marín, CD Ripoll, MR Rodrigues, A Ruiz, AT Cepeda, VP Larrea, ...","Revista de biomecánica, 9-16",2019,1,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:WF5omc3nYNoC,,
Diseño e implementación de un interfaz HMI en LABVIEW para la configuración de un emulador fotovoltaico para el testeo de inversores,JF Pedrero Sánchez,Universitat Politècnica de València,2016,1,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:YsMSGLbcyi4C,,
Desarrollo de procedimientos de valoración funcional mediante sensores portables. Estudios de aplicación en enfermedades neurodegenerativas: Parkinson y Alzheimer.,JF Pedrero Sánchez,Universitat Politècnica de València,2024,0,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:UebtZRa9Y70C,,
Desarrollo de una estación meteorológica implementada mediante la plataforma Arduino con interfaz gráfica Labview,JF Pedrero Sánchez,,2021,0,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:UeHWp8X0CEIC,,
A Case Study with OWAS,"H De Rosario, E Medina-Ripoll, JF Pedrero-Sánchez, ...",Proceedings of the 8th International Ergonomics Conference: ERGONOMICS 2020 …,2021,0,https://scholar.google.es/citations?view_op=view_citation&hl=en&user=IsAjXHwAAAAJ&pagesize=100&citation_for_view=IsAjXHwAAAAJ:0EnyYjriUFMC,,
