match,clean_venue,publication_type,quartile,ranking_source,ranking_note,source_url
"Journal of NeuroEngineering and Rehabilitation","Journal of NeuroEngineering and Rehabilitation","Journal","Q1","SJR/JCR","Rehabilitation and biomedical engineering journal; treat as indexed journal quartile.","https://jneuroengrehab.biomedcentral.com/"
"Frontiers in aging neuroscience","Frontiers in Aging Neuroscience","Journal","Q2","JCR/SJR","Indexed neuroscience journal; quartile should be reviewed annually against JCR/SJR category.","https://www.frontiersin.org/journals/aging-neuroscience"
"Frontiers in Aging Neuroscience","Frontiers in Aging Neuroscience","Journal","Q2","JCR/SJR","Indexed neuroscience journal; quartile should be reviewed annually against JCR/SJR category.","https://www.frontiersin.org/journals/aging-neuroscience"
"International journal of environmental research and public health","International Journal of Environmental Research and Public Health","Journal","Q1 at publication; delisted from WoS in 2023","JCR/SJR","Use publication-year quartile for 2020 CV reporting; Clarivate delisted the journal in 2023.","https://www.mdpi.com/journal/ijerph"
"Alzheimer's & Dementia: Translational Research & Clinical Interventions","Alzheimer's & Dementia: Translational Research & Clinical Interventions","Journal","Q1","JCR/SJR","Clinical neurology/dementia journal; verify category-year for formal CV submissions.","https://alz-journals.onlinelibrary.wiley.com/journal/23528737"
"Biomedical Signal Processing and Control","Biomedical Signal Processing and Control","Journal","Q1","SJR/JCR","Biomedical engineering/signal processing journal; verify exact category-year for formal CV submissions.","https://www.sciencedirect.com/journal/biomedical-signal-processing-and-control"
"Sensors","Sensors","Journal","Q2","JCR/SJR","MDPI Sensors journal; category quartile varies by area; keep category-year visible if used formally.","https://www.mdpi.com/journal/sensors"
"BMJ open","BMJ Open","Journal","Q2","JCR/SJR","General/open medicine journal; verify exact JCR category-year for formal CV submissions.","https://bmjopen.bmj.com/"
"Revista de biomecánica","Revista de Biomecánica","Journal/technical magazine","No JCR/SJR quartile","Local/technical venue","Not treated as indexed quartile journal in this dashboard.","https://www.ibv.org/publicaciones/revista-de-biomecanica/"
"Instituto de Biomecánica de Valencia","Instituto de Biomecánica de Valencia","Institutional report","No journal quartile","Institutional output","Institutional publication/report.","https://www.ibv.org/"
"International Ergonomics Conference","International Ergonomics Conference","Conference","Conference; no journal quartile","Conference proceeding","Conference output. No SJR/JCR journal quartile found; add conference ranking only if a recognized ranking exists.","https://ergonomics-fees.eu/"
"Proceedings of the 8th International Ergonomics Conference","Proceedings of the 8th International Ergonomics Conference","Conference proceeding","Conference; no journal quartile","Conference proceeding","Conference proceedings output. No SJR/JCR journal quartile found; add conference ranking only if a recognized ranking exists.","https://ergonomics-fees.eu/"
"ERGONOMICS 2020","Proceedings of the 8th International Ergonomics Conference","Conference paper","Conference; no journal quartile","Springer conference proceedings","Conference paper in ERGONOMICS 2020, Advances in Intelligent Systems and Computing vol. 1313, pp. 65-71. DOI: 10.1007/978-3-030-66937-9_8.","https://link.springer.com/chapter/10.1007/978-3-030-66937-9_8"
"Advances in Intelligent Systems and Computing 1313","Proceedings of the 8th International Ergonomics Conference","Conference paper","Conference; no journal quartile","Springer conference proceedings","Conference paper in ERGONOMICS 2020, Advances in Intelligent Systems and Computing vol. 1313, pp. 65-71. DOI: 10.1007/978-3-030-66937-9_8.","https://link.springer.com/chapter/10.1007/978-3-030-66937-9_8"
"ICAMPAM 2019","6th International Conference on Ambulatory Monitoring of Physical Activity and Movement (ICAMPAM 2019)","Conference poster","Conference; no journal quartile","Conference proceeding","Poster presented at ICAMPAM 2019, Maastricht. No JCR/SJR journal quartile applies.","https://ismpb.org/"
"6th International Conference on Ambulatory Monitoring of Physical Activity and Movement","6th International Conference on Ambulatory Monitoring of Physical Activity and Movement (ICAMPAM 2019)","Conference poster","Conference; no journal quartile","Conference proceeding","Poster presented at ICAMPAM 2019, Maastricht. No JCR/SJR journal quartile applies.","https://ismpb.org/"
"Universitat Politècnica de València","Universitat Politècnica de València","Thesis/academic work","No journal quartile","Academic repository","Thesis or academic work.","https://riunet.upv.es/"
"Paraninfo Digital","Paraninfo Digital","Conference/technical proceedings","No JCR/SJR quartile","Conference/technical proceedings","Proceedings-style venue; no journal quartile used.","https://ciberindex.com/index.php/pd"
"Innovación biomecánica en Europa","Innovación biomecánica en Europa","Technical publication","No JCR/SJR quartile","Technical publication","Technical/dissemination publication; no journal quartile used.",""
"Gait & Posture","Gait & Posture","Journal","Q1","SJR/JCR","Indexed movement science/rehabilitation journal; verify exact category-year for formal CV submissions.","https://www.sciencedirect.com/journal/gait-and-posture"
